 ,song,link,id
0,took us long enough,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1459394056&color=%230066cc&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/ghostdragonofficial"" title=""GhostDragon"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">GhostDragon</a> · <a href=""https://soundcloud.com/ghostdragonofficial/took-us-long-enough-w-lama-hvlo-glnna"" title=""took us long enough (w/ lama, HVLO, &amp; GLNNA)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">took us long enough (w/ lama, HVLO, &amp; GLNNA)</a></div>",1459394056
1,Night Changes,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/179090162&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/jbrytemusic"" title=""jbrytemusic"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">jbrytemusic</a> · <a href=""https://soundcloud.com/jbrytemusic/night-changes-one-direction-cover-by-justin-bryte"" title=""Night Changes - One Direction (Cover by Justin Bryte)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Night Changes - One Direction (Cover by Justin Bryte)</a></div>",179090162
2,Just the two of us,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/300379289&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/fyushi"" title=""fushi"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">fushi</a> · <a href=""https://soundcloud.com/fyushi/just-the-two-of-us"" title=""just the two of us"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">just the two of us</a></div>",300379289
3,Single Soon,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/playlists/1677982464&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/olabayo"" title=""Olabayo"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Olabayo</a> · <a href=""https://soundcloud.com/olabayo/sets/selena-gomez-single-soon"" title=""Selena Gomez - Single Soon"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Selena Gomez - Single Soon</a></div>",1677982464
4,Strangers,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1603788606&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/kenyagrace"" title=""Kenya Grace"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Kenya Grace</a> · <a href=""https://soundcloud.com/kenyagrace/strangers-1"" title=""Strangers"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Strangers</a></div>",1603788606
5,Day Light,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1466724646&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/lotusmus"" title=""LOTUS MUSIC"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">LOTUS MUSIC</a> · <a href=""https://soundcloud.com/lotusmus/david-kushner-daylight"" title=""David Kushner – Daylight"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">David Kushner – Daylight</a></div>",1466724646
6,Baby Calm  down,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1597162083&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/imagine-dragons-us"" title=""Imagine Dragons"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Imagine Dragons</a> · <a href=""https://soundcloud.com/imagine-dragons-us/baby-calm-down-selena-gomez-rema"" title=""Baby Calm Down - Selena Gomez &amp; Rema"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Baby Calm Down - Selena Gomez &amp; Rema</a></div>",1597162083
7,Way Down We Go,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/334905332&color=%230066cc&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/aminashkan"" title=""AminAshkan"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">AminAshkan</a> · <a href=""https://soundcloud.com/aminashkan/kaleo-way-down-we-go"" title=""Kaleo - Way Down We Go"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Kaleo - Way Down We Go</a></div>",334905332
8,Cupid,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1492995763&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/yaht-fifty"" title=""🌸"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">🌸</a> · <a href=""https://soundcloud.com/yaht-fifty/fifty-fifty"" title=""Fifty Fifty - Cupid"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Fifty Fifty - Cupid</a></div>",1492995763
9,Rock,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1492301326&color=%230066cc&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/kelly-cavanagh-930071897"" title=""lvnr.eclipssaudios"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">lvnr.eclipssaudios</a> · <a href=""https://soundcloud.com/kelly-cavanagh-930071897/daylight-by-david-kushner-full"" title=""Daylight by David Kushner (full song sped up and reverb)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Daylight by David Kushner (full song sped up and reverb)</a></div>",1492301326
